Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2017-05-03,721.0,725.8,714.0,715.15,719.77,2174.0,188.0,1564785.0,1211.0,55.7,11.8,-5.85
2017-05-02,724.0,727.2,717.0,720.9,721.65,1836.0,141.0,1324949.0,839.0,45.7,10.2,-3.1
2017-04-28,725.9,725.9,715.0,717.25,718.58,3436.0,165.0,2469042.0,2065.0,60.1,10.9,-8.65
2017-04-27,719.35,734.65,718.1,727.0,726.99,156505.0,121.0,113778281.0,155690.0,99.48,16.55,7.65
2017-04-26,729.95,733.15,719.0,722.05,725.23,2496.0,107.0,1810178.0,502.0,20.11,14.15,-7.9
2017-04-25,729.9,731.0,720.15,722.6,725.59,1252.0,93.0,908438.0,667.0,53.27,10.85,-7.3
2017-04-24,729.0,740.0,724.3,727.05,731.2,1865.0,193.0,1363681.0,912.0,48.9,15.7,-1.95
2017-04-21,739.9,739.9,725.1,727.2,731.35,1647.0,161.0,1204534.0,714.0,43.35,14.8,-12.7
2017-04-20,735.9,743.5,727.05,728.15,734.82,2663.0,176.0,1956826.0,1345.0,50.51,16.45,-7.75
2017-04-19,735.0,735.9,723.8,733.55,731.51,1139.0,96.0,833190.0,540.0,47.41,12.1,-1.45
2017-04-18,734.9,741.4,726.45,728.6,734.03,2376.0,138.0,1744065.0,902.0,37.96,14.95,-6.3
2017-04-17,730.25,739.0,726.65,727.4,732.76,3545.0,137.0,2597642.0,587.0,16.56,12.35,-2.85
2017-04-13,750.0,755.0,724.6,730.25,736.82,3633.0,211.0,2676849.0,1753.0,48.25,30.4,-19.75
2017-04-12,746.95,766.65,742.05,755.05,749.97,5148.0,182.0,3860825.0,1125.0,21.85,24.6,8.1
2017-04-11,750.9,754.9,740.35,741.9,746.79,2229.0,132.0,1664602.0,700.0,31.4,14.55,-9.0
2017-04-10,749.05,749.05,735.25,746.15,742.91,3840.0,226.0,2852772.0,1520.0,39.58,13.8,-2.9
2017-04-07,762.65,772.9,749.75,752.9,760.91,8735.0,468.0,6646535.0,2124.0,24.32,23.15,-9.75
2017-04-06,722.0,779.9,717.35,762.75,763.05,28620.0,1641.0,21838524.0,5756.0,20.11,62.55,40.75
2017-04-05,712.1,722.0,707.1,719.4,715.3,1782.0,160.0,1274656.0,938.0,52.64,14.9,7.3
2017-04-03,716.25,725.0,713.0,717.25,718.41,1567.0,139.0,1125741.0,653.0,41.67,12.0,1.0
2017-03-31,698.5,721.0,697.05,715.7,713.42,1895.0,172.0,1351932.0,1037.0,54.72,23.95,17.2
2017-03-30,706.25,706.3,697.1,699.45,700.22,2598.0,463.0,1819167.0,1830.0,70.44,9.2,-6.8
2017-03-29,699.0,714.0,695.5,709.1,697.65,18861.0,268.0,13158408.0,2361.0,12.52,18.5,10.1
2017-03-28,703.9,707.55,692.0,693.3,696.62,3261.0,224.0,2271670.0,1697.0,52.04,15.55,-10.6
2017-03-27,703.05,704.2,695.65,699.45,699.02,9126.0,1252.0,6379268.0,6025.0,66.02,8.55,-3.6
2017-03-24,705.0,713.5,697.55,700.9,702.73,5337.0,712.0,3750454.0,2940.0,55.09,15.95,-4.1
2017-03-23,705.5,711.6,701.0,706.55,707.24,2520.0,246.0,1782243.0,1629.0,64.64,10.6,1.05
2017-03-22,705.0,705.85,696.55,701.65,701.32,2026.0,156.0,1420877.0,1150.0,56.76,9.3,-3.35
2017-03-21,713.1,714.85,702.0,704.35,705.85,8421.0,2483.0,5943999.0,5198.0,61.73,12.85,-8.75
2017-03-20,707.0,718.05,705.1,711.45,710.61,3676.0,443.0,2612213.0,1559.0,42.41,12.95,4.45
2017-03-17,715.0,725.9,702.0,706.9,713.65,3905.0,304.0,2786822.0,1085.0,27.78,23.9,-8.1
2017-03-16,692.5,718.95,690.75,711.8,707.27,6105.0,1637.0,4317865.0,3941.0,64.55,28.2,19.3
2017-03-15,686.4,693.9,678.9,690.75,684.45,3995.0,489.0,2734365.0,2339.0,58.55,15.0,4.35
2017-03-14,688.9,689.0,675.1,685.2,682.62,2266.0,260.0,1546816.0,997.0,44.0,13.9,-3.7
2017-03-10,671.55,680.0,665.6,668.4,672.01,2402.0,174.0,1614176.0,1660.0,69.11,14.4,-3.15
2017-03-09,686.15,687.5,670.0,673.75,677.01,1510.0,121.0,1022286.0,872.0,57.75,17.5,-12.4
2017-03-08,689.95,690.0,676.6,678.25,682.5,4515.0,155.0,3081474.0,647.0,14.33,13.4,-11.7
2017-03-07,672.85,691.4,666.1,685.85,681.79,5275.0,481.0,3596440.0,1924.0,36.47,25.3,13.0
2017-03-06,682.75,686.45,671.0,672.75,677.4,1668.0,263.0,1129908.0,804.0,48.2,15.45,-10.0
2017-03-03,693.7,694.7,680.1,682.3,685.42,2944.0,318.0,2017881.0,1461.0,49.63,14.6,-11.4
2017-03-02,691.05,698.35,689.0,691.1,692.03,5537.0,686.0,3831762.0,2972.0,53.68,9.35,0.05
2017-03-01,700.95,700.95,689.1,691.35,693.56,3739.0,373.0,2593211.0,2254.0,60.28,11.85,-9.6
2017-02-28,698.15,705.0,695.65,697.05,700.02,2211.0,320.0,1547742.0,1388.0,62.78,9.35,-1.1
2017-02-27,708.05,708.75,699.0,702.0,704.75,6165.0,168.0,4344787.0,5407.0,87.7,9.75,-6.05
2017-02-23,712.1,715.0,708.0,709.45,710.53,96952.0,232.0,68887083.0,95759.0,98.77,7.0,-2.65
2017-02-22,716.7,724.55,710.0,711.85,717.52,4769.0,1185.0,3421853.0,858.0,17.99,14.55,-4.85
2017-02-21,711.0,714.15,702.8,710.7,710.71,4693.0,282.0,3335354.0,1244.0,26.51,11.35,-0.3
